N1,N2,D,C_real1,C_real2
0,0,1,450,446.00378893038425
0,0,1,451,447.33199397802963
0,0,1,452,447.74884807071425
0,0,1,452,447.56249551349214
0,0,1,452,447.63386968416262
0,0,1,452,447.74502674149153
0,0,1,452,447.92135952938821
0,0,1,452.5,447.97919392539876
0,0,1,453,448.82431041352061
0,0,1,453.5,449.72876552513236
0,0,1,454,450.20057819165487
0,0,1,453.5,449.66020387794265
0,0,1,453,448.88666822450614
0,0,1,452.5,448.71465017779121
0,0,1,452,447.69186245297806
0,0,1,452.5,448.5325893568421
0,0,1,453,449.1625391004348
0,0,1,453,448.79857232350457
0,0,1,453,448.64497858852667
0,0,1,452.5,448.84958475269298
0,0,1,452,448.17172158941275
0,0,1,451.5,447.54668519017741
0,0,1,451,447.15373534091077
0,0,1,452.5,448.78417071226175
0,0,1,454,450.32658534179143
0,0,1,453.5,449.593823601655
0,0,1,453,448.67680204491296
0,0,1,452.5,448.39203081074345
0,0,1,452,448.2292430070346
0,0,1,452,448.03961923036326
0,0,1,452,447.94211472468061
0,0,1,452,447.89048342739511
0,0,1,452,447.93821802787693
0,0,1,452,448.07371859377514
0,0,1,452,447.9408994234837
0,0,1,452,447.81734842592908
0,0,1,452,447.55187607222229
0,0,1,451.5,447.77469282567301
0,0,1,451,446.71709404045157
0,0,1,451,447.38601708455758
0,0,1,451,446.59300299763504
0,0,1,451,446.61954364628014
0,0,1,451,446.67247450411054
0,0,1,451.5,447.13762605648219
0,0,1,452,448.11976522273795
0,0,1,452,447.83241518862775
0,0,1,452,448.05938807347638
0,0,1,451,447.17168620807365
0,0,1,450,445.79474537896073
0,0,1,450,446.05567424544694
0,0,1,450,445.75499075858482
0,0,1,450.5,446.57147041817166
0,0,1,451,447.44767380669526
0,0,1,451,447.12767823834383
0,0,1,451,447.11906050268578
0,0,1,450.5,446.48233895968832
0,0,1,450,446.06098548431504
0,0,1,450,445.73159286756584
0,0,1,450,445.74684960203882
0,0,1,450,445.78561643389918
0,0,1,450,446.12024997589316
0,0,1,450,446.42164078175546
0,0,1,450,446.16895340311868
0,0,1,450,445.54649368456558
0,0,1,450,446.07915880758827
